id,name,cls,d,fireMode,closeRange,mult,healthDamage,prodArmorDamage,refArmorDamage,prodBreak,refBreak,prodBtk,refBtk,rpm,triggerTtk
"m433","M433","Assault Rifle",1,"auto","remove",0.84,26.05,17.3628,17.3628,5,5,9,9,830.769,579.0508125327098
"m433","M433","Assault Rifle",5,"auto","remove",0.84,26.05,17.3628,17.3628,5,5,9,9,830.769,584.1870949791326
"m433","M433","Assault Rifle",9,"auto","remove",0.84,26.05,17.3628,17.3628,5,5,9,9,830.769,589.3957910927227
"m433","M433","Assault Rifle",10,"auto","remove",0.84,26.05,17.3628,17.3628,5,5,9,9,830.769,590.7093990810971
"m433","M433","Assault Rifle",11,"auto","remove",0.84,26.05,17.3628,17.3628,5,5,9,9,830.769,592.0276127526748
"m433","M433","Assault Rifle",20,"auto","remove",0.84,26.05,17.3628,17.3628,5,5,9,9,830.769,604.1014382716495
"m433","M433","Assault Rifle",21,"auto","remove",0.84,26.05,17.3628,17.3628,5,5,9,9,830.769,605.4666382716496
"m433","M433","Assault Rifle",25,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,683.1975805556057
"m433","M433","Assault Rifle",30,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,690.1927805556056
"m433","M433","Assault Rifle",31,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,691.6065805556057
"m433","M433","Assault Rifle",35,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,697.3115329150215
"m433","M433","Assault Rifle",36,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,698.7502805556056
"m433","M433","Assault Rifle",37,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,700.1940805556056
"m433","M433","Assault Rifle",50,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,719.4306458350967
"m433","M433","Assault Rifle",60,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,734.8351805556057
"m433","M433","Assault Rifle",74,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,757.3277553706531
"m433","M433","Assault Rifle",75,"auto","remove",0.84,20.67,17.3628,17.3628,5,5,10,10,830.769,758.9769342925782
"m433","M433","Assault Rifle",76,"auto","remove",0.84,17.13,17.3628,17.3628,5,5,11,11,830.769,832.8541228395619
"m433","M433","Assault Rifle",83,"auto","remove",0.84,17.13,17.3628,17.3628,5,5,11,11,830.769,844.6024805091087
"m433","M433","Assault Rifle",85,"auto","remove",0.84,17.13,17.3628,17.3628,5,5,11,11,830.769,848.0123228395619
