mode,priority,category,d,ranked,winner,winnerName,cls,btk,damage,mechTtk,triggerTtk,beamIndex,buildPoints,exhaustive
"MP","balanced","__all__",1,48,"nvo228e","NVO-228E","Assault Rifle",3,35.22,183,185,"1.370",95,true
"MP","balanced","__all__",5,48,"sor300sc","SOR-300SC","Carbine",3,35.22,200,210,"0.898",95,true
"MP","balanced","__all__",9,48,"sor300sc","SOR-300SC","Carbine",3,35.22,200,217,"0.918",95,true
"MP","balanced","__all__",10,48,"m123k","M123K","LMG",4,26.05,217,230,"1.805",90,true
"MP","balanced","__all__",15,48,"m123k","M123K","LMG",4,26.05,217,237,"1.868",90,true
"MP","balanced","__all__",20,48,"m123k","M123K","LMG",4,26.05,217,243,"1.932",95,true
"MP","balanced","__all__",21,48,"m123k","M123K","LMG",4,26.05,217,245,"1.944",95,true
"MP","balanced","__all__",25,48,"l110","L110","LMG",5,20.67,333,361,"1.242",100,true
"MP","balanced","__all__",30,48,"l110","L110","LMG",5,20.67,333,367,"1.278",100,true
"MP","balanced","__all__",31,48,"l110","L110","LMG",5,20.67,333,368,"1.286",100,true
"MP","balanced","__all__",35,48,"l110","L110","LMG",5,20.67,333,373,"1.315",100,true
"MP","balanced","__all__",36,48,"kord6p67","KORD 6P67","Assault Rifle",6,17.13,333,386,"1.127",100,true
"MP","balanced","__all__",37,48,"kord6p67","KORD 6P67","Assault Rifle",6,17.13,333,388,"1.133",100,true
"MP","balanced","__all__",40,48,"kord6p67","KORD 6P67","Assault Rifle",6,17.13,333,392,"1.152",100,true
"MP","balanced","__all__",50,48,"kord6p67","KORD 6P67","Assault Rifle",6,17.13,333,408,"1.212",100,true
"MP","balanced","__all__",54,48,"sv98","SV-98","Sniper Rifle",1,100,0,70,"1.825",90,true
"MP","balanced","__all__",60,48,"sv98","SV-98","Sniper Rifle",1,100,0,79,"1.861",90,true
"MP","balanced","__all__",75,48,"sv98","SV-98","Sniper Rifle",1,100,0,95,"2.063",90,true
"MP","balanced","__all__",76,48,"m2010esr","M2010 ESR","Sniper Rifle",1,100,0,86,"2.449",100,true
"MP","balanced","__all__",83,48,"m2010esr","M2010 ESR","Sniper Rifle",1,100,0,95,"2.500",100,true
"MP","balanced","__all__",90,48,"m2010esr","M2010 ESR","Sniper Rifle",1,100,0,104,"2.550",100,true
"MP","balanced","__all__",100,48,"m2010esr","M2010 ESR","Sniper Rifle",1,100,0,117,"2.622",100,true
"MP","balanced","__all__",120,48,"l115","L115A3","Sniper Rifle",1,100,0,163,"3.199",95,true
"MP","balanced","__all__",133,48,"l115","L115A3","Sniper Rifle",1,100,0,184,"3.199",95,true
"MP","balanced","__all__",150,48,"lmr27","LMR27","DMR",4,26.2,400,575,"1.709",100,true
"MP","balanced","__all__",200,48,"lmr27","LMR27","DMR",4,26.2,400,646,"1.709",100,true
"MP","balanced","__all__",250,48,"lmr27","LMR27","DMR",4,26.2,400,724,"1.709",100,true
"MP","balanced","__all__",300,48,"lmr27","LMR27","DMR",4,26.2,400,811,"1.709",100,true
"MP","balanced","Assault Rifle",1,11,"nvo228e","NVO-228E","Assault Rifle",3,35.22,183,185,"1.370",95,true
"MP","balanced","Assault Rifle",5,11,"nvo228e","NVO-228E","Assault Rifle",3,35.22,183,191,"1.407",95,true
"MP","balanced","Assault Rifle",9,11,"nvo228e","NVO-228E","Assault Rifle",3,35.22,183,198,"1.445",95,true
"MP","balanced","Assault Rifle",10,11,"sor556","SOR-556 MK2","Assault Rifle",4,26.05,317,328,"0.777",95,true
"MP","balanced","Assault Rifle",15,11,"sor556","SOR-556 MK2","Assault Rifle",4,26.05,317,333,"0.800",95,true
"MP","balanced","Assault Rifle",20,11,"sor556","SOR-556 MK2","Assault Rifle",4,26.05,317,339,"0.823",100,true
"MP","balanced","Assault Rifle",21,11,"sor556","SOR-556 MK2","Assault Rifle",4,26.05,317,340,"0.827",100,true
"MP","balanced","Assault Rifle",25,11,"b36a4","B36A4","Assault Rifle",5,20.67,333,361,"1.409",95,true
"MP","balanced","Assault Rifle",30,11,"b36a4","B36A4","Assault Rifle",5,20.67,333,367,"1.449",95,true
"MP","balanced","Assault Rifle",31,11,"b36a4","B36A4","Assault Rifle",5,20.67,333,368,"1.456",95,true
"MP","balanced","Assault Rifle",35,11,"b36a4","B36A4","Assault Rifle",5,20.67,333,373,"1.488",95,true
"MP","balanced","Assault Rifle",36,11,"kord6p67","KORD 6P67","Assault Rifle",6,17.13,333,386,"1.127",100,true
"MP","balanced","Assault Rifle",37,11,"kord6p67","KORD 6P67","Assault Rifle",6,17.13,333,388,"1.133",100,true
"MP","balanced","Assault Rifle",40,11,"kord6p67","KORD 6P67","Assault Rifle",6,17.13,333,392,"1.152",100,true
"MP","balanced","Assault Rifle",50,11,"kord6p67","KORD 6P67","Assault Rifle",6,17.13,333,408,"1.212",100,true
"MP","balanced","Assault Rifle",54,11,"sor556","SOR-556 MK2","Assault Rifle",5,20.67,422,484,"0.977",100,true
"MP","balanced","Assault Rifle",60,11,"sor556","SOR-556 MK2","Assault Rifle",5,20.67,422,492,"1.004",100,true
