id,name,cls,d,budget,combos,method,prodScore,refScore,prodPoints,refPoints,match
"m433","M433","Assault Rifle",10,100,3528000,"exact-memoised-search",481.93,481.93,100,100,true
"m433","M433","Assault Rifle",25,100,3528000,"exact-memoised-search",472.52124999999995,472.52125,100,100,true
"m433","M433","Assault Rifle",100,100,3528000,"exact-memoised-search",476.6507142857143,476.6507142857143,95,95,true
"b36a4","B36A4","Assault Rifle",10,100,5443200,"exact-memoised-search",476.93,476.93,100,100,true
"b36a4","B36A4","Assault Rifle",25,100,5443200,"exact-memoised-search",467.715,467.71500000000003,100,100,true
"b36a4","B36A4","Assault Rifle",100,100,5443200,"exact-memoised-search",481.93642857142856,481.93642857142856,100,100,true
"sor556","SOR-556 MK2","Assault Rifle",10,100,8164800,"exact-memoised-search",481.93,481.93,95,95,true
"sor556","SOR-556 MK2","Assault Rifle",25,100,8164800,"exact-memoised-search",472.84,472.84000000000003,100,100,true
"sor556","SOR-556 MK2","Assault Rifle",100,100,8164800,"exact-memoised-search",484.58285714285716,484.58285714285716,100,100,true
"ak4d","AK4D","Assault Rifle",10,100,1795500,"brute-force-exhaustive",464.43,464.43,95,95,true
"ak4d","AK4D","Assault Rifle",25,100,1795500,"brute-force-exhaustive",455.715,455.715,100,100,true
"ak4d","AK4D","Assault Rifle",100,100,1795500,"brute-force-exhaustive",468.97214285714284,468.97214285714284,100,100,true
"tr7","TR-7","Assault Rifle",10,100,3175200,"exact-memoised-search",487.8,487.8,100,100,true
"tr7","TR-7","Assault Rifle",25,100,3175200,"exact-memoised-search",480.6009375,480.6009375,100,100,true
"tr7","TR-7","Assault Rifle",100,100,3175200,"exact-memoised-search",483.1882142857143,483.18821428571425,100,100,true
"kord6p67","KORD 6P67","Assault Rifle",10,100,1270080,"brute-force-exhaustive",455.03000000000003,455.03000000000003,100,100,true
"kord6p67","KORD 6P67","Assault Rifle",25,100,1270080,"brute-force-exhaustive",447.44624999999996,447.44624999999996,95,95,true
"kord6p67","KORD 6P67","Assault Rifle",100,100,1270080,"brute-force-exhaustive",441.1364285714286,441.1364285714286,100,100,true
"nvo228e","NVO-228E","Assault Rifle",10,100,3810240,"exact-memoised-search",478.43,478.43,100,100,true
"nvo228e","NVO-228E","Assault Rifle",25,100,3810240,"exact-memoised-search",470.70874999999995,470.70875,100,100,true
"nvo228e","NVO-228E","Assault Rifle",100,100,3810240,"exact-memoised-search",484.58285714285716,484.58285714285716,100,100,true
"l85a3","L85A3","Assault Rifle",10,100,4354560,"exact-memoised-search",472.43,472.43,100,100,true
"l85a3","L85A3","Assault Rifle",25,100,4354560,"exact-memoised-search",463.83374999999995,463.83375,95,95,true
"l85a3","L85A3","Assault Rifle",100,100,4354560,"exact-memoised-search",469.36857142857144,469.3685714285714,95,95,true
"vcr2","VCR-2","Assault Rifle",10,100,4021920,"exact-memoised-search",478.43,478.43,100,100,true
"vcr2","VCR-2","Assault Rifle",25,100,4021920,"exact-memoised-search",470.70874999999995,470.70875,100,100,true
"vcr2","VCR-2","Assault Rifle",100,100,4021920,"exact-memoised-search",484.58285714285716,484.58285714285716,100,100,true
"m16a4","M16A4","Assault Rifle",10,100,8467200,"exact-memoised-search",100463.13,100463.13,100,100,true
"m16a4","M16A4","Assault Rifle",25,100,8467200,"exact-memoised-search",100451.23375,100451.23375,100,100,true
"m16a4","M16A4","Assault Rifle",100,100,8467200,"exact-memoised-search",100457.07928571428,100457.07928571428,95,95,true
"ef88","EF88","Assault Rifle",10,100,7257600,"exact-memoised-search",468.55,468.55,100,100,true
"ef88","EF88","Assault Rifle",25,100,7257600,"exact-memoised-search",461.29468749999995,461.2946875,100,100,true
"ef88","EF88","Assault Rifle",100,100,7257600,"exact-memoised-search",473.3864285714286,473.3864285714286,100,100,true
"m4a1","M4A1","Carbine",10,100,8467200,"exact-memoised-search",488.75000000000006,488.75,100,100,true
"m4a1","M4A1","Carbine",25,100,8467200,"exact-memoised-search",479.41343749999993,479.4134375,100,100,true
"m4a1","M4A1","Carbine",100,100,8467200,"exact-memoised-search",484.58285714285716,484.58285714285716,100,100,true
