weapon,weaponId,cls,primitive,fields,currentValue,sourceVersion,currentStatus,plausibleUncertainty,scenariosProbed,top3Changes,winnerFlips,optimizedBuildFlips,baselineWins,baselineTop3Appearances,priorityScore
"L110","l110","LMG","recoil","recoilV","recoilV=0.5658669081032143","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,3,2,"not measurable without a cache rebuild (upstream-gated)",1,2,9
"B36A4","b36a4","Assault Rifle","recoil","recoilV","recoilV=0.7264767922329352","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,5,1,"not measurable without a cache rebuild (upstream-gated)",0,1,8
"M250","m250","LMG","recoil","recoilV","recoilV=0.7266832146901031","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,4,1,"not measurable without a cache rebuild (upstream-gated)",0,1,7
"M240L","m240l","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=11","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,3,1,"not measurable without a cache rebuild (upstream-gated)",0,1,6
"KORD 6P67","kord6p67","Assault Rifle","recoil","recoilV","recoilV=0.5410650819182649","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,2,1,"not measurable without a cache rebuild (upstream-gated)",1,1,5
"L115A3","l115","Sniper Rifle","recoil","recoilV","recoilV=2","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,2,1,"not measurable without a cache rebuild (upstream-gated)",0,1,5
"M2010 ESR","m2010esr","Sniper Rifle","recoil","recoilV","recoilV=1.5","1.3.3.0 (pinned Sym.gg game-file snapshot)","STALE_NEEDS_RECHECK","probe +/-10% and +/-25% of the operative primitive",16,1,1,"not measurable without a cache rebuild (upstream-gated)",1,1,4
"B36A4","b36a4","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=28","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,4,0,"not measurable without a cache rebuild (upstream-gated)",0,1,4
"B36A4","b36a4","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,4,0,"not measurable without a cache rebuild (upstream-gated)",0,1,4
"M121 A2","m121a2","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=11","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,4,0,"not measurable without a cache rebuild (upstream-gated)",0,1,4
"M121 A2","m121a2","LMG","recoil","recoilV","recoilV=0.805977209331897","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,3,0,"not measurable without a cache rebuild (upstream-gated)",0,1,3
"M16A4","m16a4","Assault Rifle","recoil","recoilV","recoilV=0.7302661666514224","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,3,0,"not measurable without a cache rebuild (upstream-gated)",0,1,3
"M250","m250","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=11","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,3,0,"not measurable without a cache rebuild (upstream-gated)",0,1,3
"M16A4","m16a4","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=37.5","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,2,0,"not measurable without a cache rebuild (upstream-gated)",0,1,2
"M16A4","m16a4","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,2,0,"not measurable without a cache rebuild (upstream-gated)",0,1,2
"M240L","m240l","LMG","recoil","recoilV","recoilV=0.8064454775462087","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,2,0,"not measurable without a cache rebuild (upstream-gated)",0,1,2
"M250","m250","LMG","recoilVariationDeg","recoilVar","recoilVar=35.9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,2,0,"not measurable without a cache rebuild (upstream-gated)",0,1,2
"DRS-IAR","drsiar","LMG","recoil","recoilV","recoilV=0.7074531033217424","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,0,1
"L85A3","l85a3","Assault Rifle","recoil","recoilV","recoilV=0.6740692990342647","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,0,1
"M121 A2","m121a2","LMG","recoilVariationDeg","recoilVar","recoilVar=31.8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,1,1
"M240L","m240l","LMG","recoilVariationDeg","recoilVar","recoilVar=34.5","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,1,1
"PP-19","pp19","SMG","recoil","recoilV","recoilV=0.5434529043176682","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,0,1
"PSR","psr","Sniper Rifle","recoil","recoilV","recoilV=1.8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,1,1
"PW7A2","pw7a2","SMG","recoil","recoilV","recoilV=0.5091176296296296","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,0,1
"RPK-74M","rpk74m","LMG","recoil","recoilV","recoilV=0.47528607726642336","1.3.3.0 (pinned Sym.gg game-file snapshot)","MISSING","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,0,1
"SL9","sl9","SMG","recoil","recoilV","recoilV=0.5240016637500265","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,0,1
"SOR-556 MK2","sor556","Assault Rifle","recoil","recoilV","recoilV=0.6232874910249844","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,1,0,"not measurable without a cache rebuild (upstream-gated)",0,0,1
"KORD 6P67","kord6p67","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=28.9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,1,0
"KORD 6P67","kord6p67","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,1,0
"L110","l110","LMG","recoilVariationDeg","recoilVar","recoilVar=31","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,2,0
"L110","l110","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=11","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,2,0
"M123K","m123k","LMG","recoil","recoilV","recoilV=0.6107296272745169","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,1,0
"M123K","m123k","LMG","recoilVariationDeg","recoilVar","recoilVar=47.7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,1,0
"M123K","m123k","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=11","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,1,0
"M2010 ESR","m2010esr","Sniper Rifle","recoilVariationDeg","recoilVar","recoilVar=10","1.3.3.0 (pinned Sym.gg game-file snapshot)","STALE_NEEDS_RECHECK","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,1,0
"M2010 ESR","m2010esr","Sniper Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","STALE_NEEDS_RECHECK","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",1,1,0
"AK-205","ak205","Carbine","recoil","recoilV","recoilV=0.5082994245768439","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"AK-205","ak205","Carbine","recoilVariationDeg","recoilVar","recoilVar=7.4","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"AK-205","ak205","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"AK4D","ak4d","Assault Rifle","recoil","recoilV","recoilV=0.852210725925926","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"AK4D","ak4d","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=20","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"AK4D","ak4d","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"BROD 3","brod3","Carbine","recoil","recoilV","recoilV=0.8354362713464263","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"BROD 3","brod3","Carbine","recoilVariationDeg","recoilVar","recoilVar=24.3","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"BROD 3","brod3","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"CZ3A1","cz3a1","SMG","recoil","recoilV","recoilV=0.6848687077127121","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"CZ3A1","cz3a1","SMG","recoilVariationDeg","recoilVar","recoilVar=50.8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"CZ3A1","cz3a1","SMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"DB-12","db12","Shotgun","recoil","recoilV","recoilV=2.708937326026026","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"DB-12","db12","Shotgun","recoilVariationDeg","recoilVar","recoilVar=15","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"DB-12","db12","Shotgun","effectiveAdsSpreadDeg","spreadMax","spreadMax=5","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"DRS-IAR","drsiar","LMG","recoilVariationDeg","recoilVar","recoilVar=29.3","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"DRS-IAR","drsiar","LMG","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"EF88","ef88","Assault Rifle","recoil","recoilV","recoilV=0.6720006428699492","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"EF88","ef88","Assault Rifle","recoilVariationDeg","recoilVar","recoilVar=20.3","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"EF88","ef88","Assault Rifle","effectiveAdsSpreadDeg","spreadMax","spreadMax=7","1.3.3.0 (pinned Sym.gg game-file snapshot)","PROVISIONAL","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"GRT-BC","grtbc","Carbine","recoil","recoilV","recoilV=0.8070225287267756","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"GRT-BC","grtbc","Carbine","recoilVariationDeg","recoilVar","recoilVar=26.1","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"GRT-BC","grtbc","Carbine","effectiveAdsSpreadDeg","spreadMax","spreadMax=6","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"GRT-CPS","grtcps","DMR","recoil","recoilV","recoilV=1.0594954875124012","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"GRT-CPS","grtcps","DMR","recoilVariationDeg","recoilVar","recoilVar=8","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
"GRT-CPS","grtcps","DMR","effectiveAdsSpreadDeg","spreadMax","spreadMax=9","1.3.3.0 (pinned Sym.gg game-file snapshot)","PATCH_RECONCILED_NO_KNOWN_DELTA","probe +/-10% and +/-25% of the operative primitive",16,0,0,"not measurable without a cache rebuild (upstream-gated)",0,0,0
