weaponId,sourceStat,path,from,to,absChange,pctChange,verdict,affectsCombat
ef88,velocity,bulletVel,670,724,54,8.0597,INGEST_NO_ARCHIVE_ROW,true
ef88,RoF,rpm,675,674.999,-0.0009999999999763531,-0.0001,REPRESENTATION_ONLY,true
ef88,ReloadSpeed,reloadSpeed,0.987893,1,0.012106999999999979,1.2255,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSStandBaseMin,spread.adsStand[0],0.1,0.05,-0.05,-50.0000,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSStandMoveMin,spread.adsMove[0],0.25,0.32,0.07,28.0000,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSBaseSpreadInc,spreadDyn.ads.inc,0.3,0.36,0.06,20.0000,INGEST_NO_ARCHIVE_ROW,true
ef88,HIPBaseSpreadInc,spreadDyn.hip.inc,0.54,0.648,0.10799999999999998,20.0000,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSBaseSpreadIdleTime,spreadDyn.ads.idleTime,0.6,0.4,-0.19999999999999996,-33.3333,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSBaseSpreadFiringDecCoef,spreadDyn.ads.firingCoef,1.04,1.2,0.15999999999999992,15.3846,INGEST_NO_ARCHIVE_ROW,true
ef88,HIPBaseSpreadFiringDecCoef,spreadDyn.hip.firingCoef,0.43,0.5,0.07,16.2791,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSBaseSpreadFiringDecOffset,spreadDyn.ads.firingOffset,2.05,2.7,0.6500000000000004,31.7073,INGEST_NO_ARCHIVE_ROW,true
ef88,HIPBaseSpreadFiringDecOffset,spreadDyn.hip.firingOffset,3.69,4.86,1.1700000000000004,31.7073,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSBaseSpreadNotFiringDecOffset,spreadDyn.ads.notFiringOffset,8,7.2,-0.7999999999999998,-10.0000,INGEST_NO_ARCHIVE_ROW,true
ef88,HIPBaseSpreadNotFiringDecOffset,spreadDyn.hip.notFiringOffset,14.4,12.96,-1.4399999999999995,-10.0000,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSBaseSpreadDistExp,spreadDyn.ads.distExp,0.67,0.5,-0.17000000000000004,-25.3731,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSRecoilAmount,recoil.ads.amount,0.59065,0.5965,0.005850000000000022,0.9904,INGEST_NO_ARCHIVE_ROW,true
ef88,HIPRecoilAmount,recoil.hip.amount,0.59065,0.5965,0.005850000000000022,0.9904,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSRecoilAmountMultiplier,recoil.ads.amountMult,0.9579,0.9375,-0.020399999999999974,-2.1297,INGEST_NO_ARCHIVE_ROW,true
ef88,HIPRecoilAmountMultiplier,recoil.hip.amountMult,0.9579,0.9375,-0.020399999999999974,-2.1297,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSRecoilDirectionVariation,recoil.ads.dirVar,20.3,26.1,5.800000000000001,28.5714,INGEST_NO_ARCHIVE_ROW,true
ef88,HIPRecoilDirectionVariation,recoil.hip.dirVar,20.3,26.1,5.800000000000001,28.5714,INGEST_NO_ARCHIVE_ROW,true
ef88,ADSRecoilDirectionVariationMultiplier,recoil.ads.dirVarMult,0.89864,0.915366,0.01672600000000002,1.8613,INGEST_NO_ARCHIVE_ROW,true
ef88,HIPRecoilDirectionVariationMultiplier,recoil.hip.dirVarMult,0.9160025,0.915366,-0.0006365000000000398,-0.0695,INGEST_NO_ARCHIVE_ROW,true
brod3,velocity,bulletVel,580,563,-17,-2.9310,INGEST_NO_ARCHIVE_ROW,true
brod3,RoF,rpm,830.7692307692307,830.769,-0.00023076923071130295,-0.0000,REPRESENTATION_ONLY,true
brod3,ADSStandMoveMin,spread.adsMove[0],0.35,0.32,-0.02999999999999997,-8.5714,INGEST_NO_ARCHIVE_ROW,true
brod3,ADSBaseSpreadInc,spreadDyn.ads.inc,0.228,0.304,0.07599999999999998,33.3333,INGEST_NO_ARCHIVE_ROW,true
brod3,HIPBaseSpreadInc,spreadDyn.hip.inc,0.41,0.547,0.13700000000000007,33.4146,INGEST_NO_ARCHIVE_ROW,true
brod3,ADSBaseSpreadFiringDecCoef,spreadDyn.ads.firingCoef,1.22,1.2,-0.020000000000000018,-1.6393,INGEST_NO_ARCHIVE_ROW,true
brod3,HIPBaseSpreadFiringDecCoef,spreadDyn.hip.firingCoef,0.51,0.5,-0.010000000000000009,-1.9608,INGEST_NO_ARCHIVE_ROW,true
brod3,ADSBaseSpreadFiringDecOffset,spreadDyn.ads.firingOffset,1.84,2.7,0.8600000000000001,46.7391,INGEST_NO_ARCHIVE_ROW,true
brod3,HIPBaseSpreadFiringDecOffset,spreadDyn.hip.firingOffset,3.31,4.86,1.5500000000000003,46.8278,INGEST_NO_ARCHIVE_ROW,true
brod3,ADSBaseSpreadDistExp,spreadDyn.ads.distExp,0.67,0.5,-0.17000000000000004,-25.3731,INGEST_NO_ARCHIVE_ROW,true
vssm,RoF,rpm,449.999,799.999,350,77.7780,EXCLUDED,true
vssm,ADSStandMoveMin,spread.adsMove[0],0.35,0.32,-0.02999999999999997,-8.5714,INGEST_NO_ARCHIVE_ROW,true
vssm,HIPStandBaseMin,spread.hipStand[0],3.352,1.804,-1.5479999999999998,-46.1814,INGEST_NO_ARCHIVE_ROW,true
vssm,HIPStandMoveMin,spread.hipMove[0],4.19,2.255,-1.9350000000000005,-46.1814,INGEST_NO_ARCHIVE_ROW,true
m2010esr,RoF,rpm,44.0816018658339,44.08160187,4.166096800872765e-9,0.0000,REPRESENTATION_ONLY,true
sv98,RoF,rpm,37.67438355865456,37.67438356,1.3454410918711801e-9,0.0000,REPRESENTATION_ONLY,true
psr,RoF,rpm,38.11762015220833,38.11762015,-2.2083312956056034e-9,-0.0000,REPRESENTATION_ONLY,true
l115,velocity,bulletVel,664,742,78,11.7470,INGEST_PATCH_DELTA,true
l115,RoF,rpm,46.349953649969095,46.34995365,3.090860900556436e-11,0.0000,REPRESENTATION_ONLY,true
ef88,(derived),recoilVar,20.3,26.1,5.800000000000001,28.5714,DERIVED,true
ef88,(derived),recoilIncAds,0.3,0.36,0.06,20.0000,DERIVED,true
ef88,(derived),recoilV,0.6720006428699492,0.7239300740740741,0.051929431204124854,7.7276,DERIVED,true
brod3,(derived),recoilIncAds,0.228,0.304,0.07599999999999998,33.3333,DERIVED,true
